model,train_r2,test_r2,train_mae,test_mae,train_rmse,test_rmse,cv_r2_mean,cv_r2_std
LinearRegression,0.3629676185395936,0.2785235606191221,32.01174102791744,33.794379404684044,47.48772422671288,46.485083587632126,0.29055126031554196,0.03409892615175019
DecisionTreeRegressor,1.0,-0.41827457845379623,0.0,42.457755829673275,0.0,65.17524897075873,-0.2715145715279261,0.17848524664487161
SVR,0.05260603561384902,0.04628928818394917,33.312720241600395,32.66509478347812,57.91164609481258,53.445466214265004,0.01915933183168108,0.02634950417018158
